,precision,recall,f1-score,support
AMD,1.0,1.0,1.0,109.0
DME,1.0,1.0,1.0,165.0
NORMAL,1.0,1.0,1.0,211.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,485.0
weighted avg,1.0,1.0,1.0,485.0
