,precision,recall,f1-score,support
CNV,0.9408502772643254,0.9356617647058824,0.9382488479262673,544.0
DRUSEN,0.8771653543307086,0.8107714701601164,0.8426626323751891,687.0
NORMAL,0.9175946547884187,0.9566563467492261,0.9367184539598332,1292.0
accuracy,0.912405866032501,0.912405866032501,0.912405866032501,0.912405866032501
macro avg,0.9118700954611509,0.9010298605384083,0.9058766447537633,2523.0
weighted avg,0.9116002549518933,0.912405866032501,0.9114375125761985,2523.0
