epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec,train_peak_vram_gb
1,0.62216434623094,0.9139066971317021,0.5315760132222892,0.9569688498402555,0.9264796237329285,0.0001,148.0622582435608,2.4489941596984863
2,0.5994530012207786,0.9224361676168504,0.5540185643080324,0.9443889776357828,0.907920965699967,0.00015,144.68365335464478,2.449817657470703
3,0.6099024266014479,0.9173894718161449,0.5279605643817792,0.9514776357827476,0.9167413827182147,0.0002,144.59844589233398,2.4489941596984863
4,0.6190141320662267,0.9129639078062957,0.5320423656759171,0.952176517571885,0.9099317002778678,0.00025,144.51138710975647,2.4490857124328613
5,0.6278637835464269,0.9090707424743228,0.5291250563277223,0.9546725239616614,0.9204334720753611,0.0003,144.4853937625885,2.4489941596984863
6,0.6364162176865308,0.9052552186162071,0.5555355929718993,0.9407947284345048,0.9032104894512513,0.00035,144.22232294082642,2.4490857124328613
7,0.6506549742347761,0.898356219082056,0.5591274945499798,0.9371006389776357,0.8945965341543594,0.0004,144.29554843902588,2.4489941596984863
8,0.6508182937288806,0.8975908959826083,0.533381247863221,0.9524760383386581,0.913919450842085,0.00045000000000000004,144.31957602500916,2.4490857124328613
9,0.663015468333612,0.8911577452915992,0.5666855137569075,0.9360023961661342,0.894878329788065,0.0005,144.4392285346985,2.4489941596984863
10,0.6696717150555801,0.8887175846846647,0.5486845545494519,0.943091054313099,0.8962336962618719,0.0005,144.41376543045044,2.4490857124328613
11,0.6593788191198485,0.8938308303201047,0.5430433055082449,0.9470846645367412,0.9043448824890421,0.0004998477067547739,144.54094290733337,2.4489941596984863
12,0.6486508052999996,0.8979347367954036,0.538185780992904,0.9469848242811502,0.9052672972648401,0.0004993910125649561,144.5802321434021,2.4490857124328613
13,0.6454652490531011,0.8997981321679718,0.550712096043669,0.9439896166134185,0.9059220163311887,0.0004986304738420684,144.53364419937134,2.4489941596984863
