,precision,recall,f1-score,support
CNV,0.7114285714285714,0.996,0.83,250.0
DME,0.9957805907172996,0.944,0.9691991786447639,250.0
DRUSEN,1.0,0.604,0.7531172069825436,250.0
NORMAL,0.9541984732824428,1.0,0.9765625,250.0
accuracy,0.886,0.886,0.886,0.886
macro avg,0.9153519088570785,0.886,0.8822197214068268,1000.0
weighted avg,0.9153519088570786,0.886,0.8822197214068269,1000.0
