epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,epoch_time_sec,train_peak_vram_gb,lr_backbone,lr_lora_head
1,0.8131669434784848,0.6785465924895688,0.6858727054639362,0.8368740515933232,0.8122264467440029,21.45537281036377,2.6247496604919434,1e-05,0.0001
2,0.6677066805631295,0.7907684283727399,0.6623467547036086,0.8228376327769348,0.8321565575680795,21.28560972213745,2.6222314834594727,1.5e-05,0.00015
3,0.6372384828552915,0.8094575799721836,0.6166106245405576,0.8645675265553869,0.8604362227028349,21.268306732177734,2.620767116546631,2e-05,0.0002
4,0.6168434730988716,0.8277990264255911,0.5809814418031521,0.8880880121396054,0.8793537400953048,21.26535725593567,2.620767116546631,2.5e-05,0.00025
5,0.6063194543496292,0.8268428372739917,0.583140778975711,0.8831562974203339,0.8822884403900891,21.25047540664673,2.620767116546631,3e-05,0.0003
6,0.6061434709312853,0.8304937413073713,0.607698274581313,0.8698786039453718,0.8545462483079366,21.271021127700806,2.620767116546631,3.5e-05,0.00035
7,0.5725770035605768,0.8549200278164116,0.571969704400064,0.8918816388467374,0.8865077943979142,21.25413942337036,2.620767116546631,4e-05,0.0004
8,0.596857175210255,0.8315368567454798,0.6084919775382521,0.874051593323217,0.8579272213674173,21.26709508895874,2.620767116546631,4.5e-05,0.00045000000000000004
9,0.6046448518238412,0.8331015299026425,0.5995771749247549,0.8694992412746586,0.8606926168455619,21.02277898788452,2.620767116546631,5e-05,0.0005
10,0.5689938517704461,0.8523122392211405,0.6418350061263227,0.8395295902883156,0.8396708906968424,20.987162113189697,2.620767116546631,5e-05,0.0005
11,0.5623640917521359,0.8543984700973575,0.6086205394206532,0.875948406676783,0.8652876005472049,20.94547438621521,2.620767116546631,4.99847706754774e-05,0.0004998477067547739
12,0.558584857053319,0.8572670375521557,0.6369341906719758,0.8463581183611533,0.856592047649388,21.026976108551025,2.620767116546631,4.993910125649561e-05,0.0004993910125649561
13,0.5488658158603398,0.8607440890125174,0.6011319365776363,0.870257966616085,0.8627019294726694,20.937263011932373,2.620767116546631,4.9863047384206835e-05,0.0004986304738420684
14,0.5471073065745814,0.8670897079276774,0.5923997096841722,0.8691198786039454,0.8667537424894256,20.911404371261597,2.620767116546631,4.975670171853926e-05,0.0004975670171853926
15,0.5527959734988975,0.8574408901251739,0.5979462717299396,0.8831562974203339,0.8778827135582281,20.90261173248291,2.620767116546631,4.962019382530521e-05,0.000496201938253052
16,0.5368945167525587,0.8724791376912379,0.6097903713832675,0.8596358118361154,0.8558406997745047,20.942962169647217,2.620767116546631,4.9453690018345144e-05,0.0004945369001834514
17,0.5323269859640257,0.8733484005563282,0.6193168722262694,0.8501517450682853,0.8454067970576675,21.020084381103516,2.620767116546631,4.925739315689991e-05,0.0004925739315689991
