,precision,recall,f1-score,support
CNV,0.926873857404022,0.9319852941176471,0.9294225481209899,544.0
DRUSEN,0.8623693379790941,0.7205240174672489,0.7850911974623315,687.0
NORMAL,0.8794579172610556,0.9543343653250774,0.9153674832962138,1292.0
accuracy,0.8858501783590963,0.8858501783590963,0.8858501783590963,0.8858501783590963
macro avg,0.8895670375480572,0.8689478923033245,0.8766270762931784,2523.0
weighted avg,0.8850284354818508,0.8858501783590963,0.8829244182533288,2523.0
