epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec,train_peak_vram_gb
1,1.0051036914962943,0.5731977001326847,0.8629424140625394,0.7484536082474227,0.7228790191898655,0.0001,3.471562385559082,1.746690273284912
2,0.7168195749320376,0.804953560371517,0.6088108916872556,0.8412371134020619,0.8269787336148893,0.00015,3.2244157791137695,1.7458205223083496
3,0.5206411537582081,0.8982750995134896,0.41364183561089113,0.979381443298969,0.9796428176416265,0.0002,3.2101638317108154,1.7458205223083496
4,0.40050368988371593,0.9624060150375939,0.3683780611175852,0.9917525773195877,0.9913217131530971,0.00025,3.212437629699707,1.7458205223083496
5,0.41667687726832764,0.952233524988943,0.3765090847752758,0.9835051546391752,0.9825790508106627,0.0003,3.196033000946045,1.7458205223083496
6,0.36820884284220246,0.9703670942061035,0.3503120423592243,0.9917525773195877,0.9905807272393136,0.00035,3.225769519805908,1.7458205223083496
7,0.36141253407420126,0.9747899159663865,0.3478778313730181,0.9979381443298969,0.9982049285899642,0.0004,3.242921829223633,1.7458205223083496
8,0.36529190434338193,0.978328173374613,0.35639604047401663,0.9917525773195877,0.9913385301801352,0.00045000000000000004,3.2461678981781006,1.7458205223083496
9,0.34117831071622073,0.984077841662981,0.3358199275031532,0.9979381443298969,0.9982049285899642,0.0005,3.208336114883423,1.7458205223083496
10,0.4022246574153419,0.9548872180451128,0.3350068461034716,1.0,1.0,0.0005,3.2001075744628906,1.7458205223083496
11,0.3500706097131701,0.9774436090225563,0.33894489241629533,0.9958762886597938,0.9964166904286665,0.0004998477067547739,3.2167396545410156,1.7458205223083496
12,0.34647396130405766,0.9845201238390093,0.33178549046368944,1.0,1.0,0.0004993910125649561,3.251148223876953,1.7458205223083496
13,0.34553622528548156,0.9809818664307829,0.3373074853543154,0.9979381443298969,0.9982049285899642,0.0004986304738420684,3.298233985900879,1.7458205223083496
14,0.34838174367204067,0.9796550199026979,0.3445481805457282,0.9917525773195877,0.9905807272393136,0.0004975670171853926,3.2194876670837402,1.7458205223083496
15,0.3431475666153489,0.984077841662981,0.3429413008935673,0.9938144329896907,0.9938520609678715,0.000496201938253052,3.214386463165283,1.7458205223083496
16,0.3408805586921594,0.9849624060150376,0.33283683811266396,1.0,1.0,0.0004945369001834514,3.236948251724243,1.7458205223083496
17,0.37603634574781314,0.9637328615656789,0.33700143836208224,0.9979381443298969,0.9982072333616276,0.0004925739315689991,3.211042642593384,1.7458205223083496
18,0.3240263638033481,0.9933657673595754,0.3316296017661537,1.0,1.0,0.0004903154239845797,3.217409372329712,1.7458205223083496
19,0.3729047483176797,0.9584254754533392,0.3316602738247704,1.0,1.0,0.0004877641290737884,3.1949105262756348,1.7458205223083496
20,0.3451298769466226,0.9818664307828394,0.34581304751720626,0.9917525773195877,0.9897424378556453,0.0004849231551964771,3.2039847373962402,1.7458205223083496
21,0.3365463077204779,0.9845201238390093,0.3314110689556476,1.0,1.0,0.00048179596364169685,3.2061383724212646,1.7458205223083496
22,0.3256111850073147,0.9911543564794338,0.33116693121870766,1.0,1.0,0.0004783863644106502,3.1930091381073,1.7458205223083496
23,0.33665513606105213,0.9867315347191509,0.3311692086691709,1.0,1.0,0.00047469851157479177,3.2033467292785645,1.7458205223083496
24,0.34599738223053933,0.9805395842547545,0.33131390822302437,1.0,1.0,0.00047073689821473173,3.1921167373657227,1.7458205223083496
25,0.3343946141697885,0.9902697921273773,0.3316037646888458,1.0,1.0,0.00046650635094610973,3.21410870552063,1.7458205223083496
26,0.32024444037968475,0.9938080495356038,0.3312517924407094,1.0,1.0,0.00046201202403910646,3.1941897869110107,1.7458205223083496
27,0.3278444843026507,0.9902697921273773,0.33273542572542564,0.9979381443298969,0.9982072333616276,0.00045725939313876043,3.202765703201294,1.7458205223083496
28,0.34152564217906145,0.9823087129588678,0.33409081169010435,1.0,1.0,0.0004522542485937369,3.1974050998687744,1.7458205223083496
