,precision,recall,f1-score,support
CNV,0.7309941520467836,1.0,0.8445945945945946,250.0
DME,0.9958333333333333,0.956,0.9755102040816327,250.0
DRUSEN,0.9759036144578314,0.648,0.7788461538461539,250.0
NORMAL,0.9682539682539683,0.976,0.9721115537848606,250.0
accuracy,0.895,0.895,0.895,0.895
macro avg,0.9177462670229792,0.895,0.8927656265768105,1000.0
weighted avg,0.9177462670229791,0.895,0.8927656265768104,1000.0
