,precision,recall,f1-score,support
CNV,0.8920353982300885,0.9264705882352942,0.90892696122633,544.0
DRUSEN,0.8274760383386581,0.7540029112081513,0.789032749428789,687.0
NORMAL,0.9024024024024024,0.9303405572755418,0.9161585365853658,1292.0
accuracy,0.8814902893380896,0.8814902893380896,0.8814902893380896,0.8814902893380896
macro avg,0.8739712796570497,0.8702713522396625,0.8713727490801616,2523.0
weighted avg,0.8797650411730996,0.8814902893380896,0.8799835889944488,2523.0
