epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec,train_peak_vram_gb
1,1.145582233314649,0.37549756744803187,1.085101017509539,0.47010309278350515,0.4311746511166692,0.0001,3.202643871307373,1.6404328346252441
2,0.9787378070207888,0.5767359575409111,0.8600434816989702,0.734020618556701,0.7094604756120507,0.00015,3.010162591934204,1.6419734954833984
3,0.7464129454474806,0.7624944714727997,0.6885443883458363,0.7814432989690722,0.7654169729271404,0.0002,2.986847400665283,1.6385254859924316
4,0.5434927136061836,0.8779301194161875,0.4827435358283446,0.9463917525773196,0.9426012038544007,0.00025,2.9697353839874268,1.6385254859924316
5,0.45192457278815584,0.9354268022998673,0.40121033173246484,0.9814432989690721,0.9830813422570922,0.0003,2.9823975563049316,1.6385254859924316
6,0.4609151390578461,0.9265811587793011,0.38056883056139207,0.9876288659793815,0.9892365671215669,0.00035,3.0213701725006104,1.6385254859924316
7,0.40978129381418543,0.9535603715170279,0.38781773509438505,0.9896907216494846,0.9909999594162627,0.0004,2.9795143604278564,1.6385254859924316
8,0.43200924394142304,0.9354268022998673,0.364982775314567,0.9876288659793815,0.9884631853060131,0.00045000000000000004,3.071094512939453,1.6385254859924316
9,0.3715702019556072,0.9752321981424149,0.38831040754760665,0.9896907216494846,0.9903142213222154,0.0005,3.000833034515381,1.6385254859924316
10,0.3933401174220507,0.9606368863334808,0.3508058538141939,1.0,1.0,0.0005,3.0396084785461426,1.6385254859924316
11,0.3839659131849197,0.9708093763821318,0.35598643354533877,0.9958762886597938,0.9964074709357728,0.0004998477067547739,2.9948391914367676,1.6385254859924316
12,0.35490379267327293,0.9836355594869527,0.3452239961968255,1.0,1.0,0.0004993910125649561,3.016042947769165,1.6385254859924316
13,0.3521697918617952,0.9831932773109243,0.34325810498798015,1.0,1.0,0.0004986304738420684,3.084801197052002,1.6385254859924316
14,0.351338531711575,0.9814241486068112,0.34249795871911587,0.9979381443298969,0.9974568523442903,0.0004975670171853926,3.0636351108551025,1.6385254859924316
15,0.35731200943052216,0.9778858911985847,0.3395121538761965,1.0,1.0,0.000496201938253052,3.0614688396453857,1.6385254859924316
16,0.33178882186837766,0.9907120743034056,0.3409021666369487,0.9958762886597938,0.9964074709357728,0.0004945369001834514,3.078129291534424,1.6385254859924316
17,0.34690544916063953,0.9836355594869527,0.33761637210845946,1.0,1.0,0.0004925739315689991,3.0195677280426025,1.6385254859924316
18,0.3496020512209694,0.9809818664307829,0.3366631655963426,1.0,1.0,0.0004903154239845797,3.0425126552581787,1.6385254859924316
