epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec,train_peak_vram_gb
1,0.7272799883992219,0.7322314049586777,0.4281547697690817,0.9538461538461539,0.9533994154276275,0.0001,2.8587160110473633,2.4498066902160645
2,0.4939825131873454,0.8727272727272727,0.3179907023906708,0.9884615384615385,0.9884593837535015,0.00015,2.022521734237671,2.4498062133789062
3,0.557649776462681,0.8586776859504133,0.3557959964642158,0.9730769230769231,0.9727329192546583,0.0002,1.9955992698669434,2.4489827156066895
4,0.4637267160021569,0.9041322314049587,0.3213849012668316,0.9846153846153847,0.9846272246272246,0.00025,1.9943745136260986,2.4489827156066895
5,0.5834891350801326,0.859504132231405,0.31994706713236293,0.9923076923076923,0.9923328740567144,0.0003,1.9893195629119873,2.4489827156066895
6,0.49570553401284967,0.8851239669421488,0.332068440088859,0.9846153846153847,0.98453557540079,0.00035,1.9958345890045166,2.4489827156066895
7,0.5203124318241088,0.8743801652892562,0.3192312061786652,0.9961538461538462,0.9962119989238634,0.0004,1.9972615242004395,2.4489827156066895
8,0.4486603146742198,0.9181818181818182,0.3565718770027161,0.9730769230769231,0.973166532149583,0.00045000000000000004,2.0044639110565186,2.4489827156066895
9,0.570981248351168,0.8396694214876033,0.3365969749597403,0.9846153846153847,0.9845743797459011,0.0005,2.0261168479919434,2.4489827156066895
10,0.6398485905867963,0.8033057851239669,0.3521002723620488,0.9730769230769231,0.973038319064234,0.0005,2.0243563652038574,2.4489827156066895
11,0.4948197319487895,0.8818181818181818,0.330165642958421,0.9846153846153847,0.9846272246272246,0.0004998477067547739,2.0168166160583496,2.4489827156066895
12,0.7836842412790976,0.7528925619834711,0.4724051658923809,0.8884615384615384,0.8846027799714659,0.0004993910125649561,2.013807535171509,2.4489827156066895
