epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec,train_peak_vram_gb
1,0.8113272410037092,0.8437568455640745,0.5783648264694077,0.9470103831006087,0.9467214825756791,0.0001,29.275082111358643,2.451327323913574
2,0.7042166828717485,0.8937020810514786,0.5892826416908179,0.9452201933404941,0.9456165176900703,0.00015,29.073219776153564,2.449343204498291
3,0.7340107813330626,0.8759036144578313,0.5955846951804279,0.9369853204439671,0.9360415973499933,0.0002,29.44358730316162,2.448519706726074
4,0.7185349567565834,0.8848849945235487,0.5898115147709463,0.9466523451485858,0.946333059492948,0.00025,29.457472324371338,2.448519706726074
5,0.7535167878977179,0.8647864184008762,0.6134240978557151,0.9308986752595775,0.930424678820023,0.0003,29.458560943603516,2.448519706726074
6,0.7587201799124251,0.8648411829134721,0.6431476172263845,0.916219119226638,0.9164106289840545,0.00035,29.730539321899414,2.448519706726074
7,0.7853793489972185,0.8489594742606791,0.6506347288762716,0.9190834228428213,0.9198062439895021,0.0004,29.751775979995728,2.448519706726074
8,0.8304429954662511,0.8294633077765607,0.616275015715583,0.9273182957393483,0.9271524045571655,0.00045000000000000004,29.56172013282776,2.448519706726074
9,0.7822366927043501,0.8515881708652793,0.7101554274559021,0.8904403866809882,0.8904787970966117,0.0005,29.228940963745117,2.448519706726074
10,0.8289974783493159,0.82973713033954,0.6754847150355994,0.9029717150017902,0.9030879861887997,0.0005,29.09650182723999,2.448519706726074
11,0.8004089466321638,0.8430996714129244,0.649589584798229,0.9215896885069818,0.921482411409374,0.0004998477067547739,29.17357325553894,2.448519706726074
