split,label,count
test,AMD,350
test,CNV,350
test,CSR,350
test,DME,349
test,DR,350
test,DRUSEN,349
test,MH,350
test,NORMAL,349
train,AMD,2300
train,CNV,2257
train,CSR,2300
train,DME,2272
train,DR,2300
train,DRUSEN,2233
train,MH,2300
train,NORMAL,2298
val,AMD,350
val,CNV,347
val,CSR,350
val,DME,349
val,DR,350
val,DRUSEN,348
val,MH,350
val,NORMAL,349
