epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec,train_peak_vram_gb
1,1.1327681743409024,0.4033057851239669,0.9695462648685161,0.6076923076923076,0.6104455175337801,0.0001,2.5364952087402344,1.7478466033935547
2,0.8472325829434986,0.7289256198347107,0.6324595020367549,0.8423076923076923,0.841060710625928,0.00015,1.7122931480407715,1.748227596282959
3,0.5714035940564368,0.859504132231405,0.40160904847658596,0.9615384615384616,0.9614300908279487,0.0002,1.694324016571045,1.7462902069091797
4,0.5076445458349118,0.8917355371900827,0.358239804322903,0.9884615384615385,0.9884509790574728,0.00025,1.7031238079071045,1.7462902069091797
5,0.4422400567157209,0.9214876033057852,0.34863689358417804,0.9846153846153847,0.9847054202509732,0.0003,1.692345380783081,1.7462902069091797
6,0.3934306445200581,0.9570247933884297,0.3199058555639707,0.9884615384615385,0.9884591349601491,0.00035,1.7073490619659424,1.7462902069091797
7,0.34621441462808406,0.9793388429752066,0.3102904283083402,0.9961538461538462,0.9962119989238634,0.0004,1.7084612846374512,1.7462902069091797
8,0.40704767605489933,0.9388429752066115,0.3048468484328343,0.9961538461538462,0.9961417946230444,0.00045000000000000004,1.7140121459960938,1.7462902069091797
9,0.32207191261378204,0.9884297520661157,0.30441846664135275,0.9961538461538462,0.9962119989238634,0.0005,1.7059195041656494,1.7462902069091797
10,0.3747391678085012,0.9611570247933884,0.3010562997597914,0.9961538461538462,0.9962119989238634,0.0005,1.706941843032837,1.7462902069091797
11,0.32335587961614626,0.987603305785124,0.30435953323657694,0.9961538461538462,0.9962119989238634,0.0004998477067547739,1.6971461772918701,1.7462902069091797
12,0.3083142295849225,0.990909090909091,0.30655397681089547,0.9961538461538462,0.9962119989238634,0.0004993910125649561,1.7089953422546387,1.7462902069091797
13,0.34982471574436536,0.9727272727272728,0.3041265382216527,0.9961538461538462,0.9962119989238634,0.0004986304738420684,1.7307062149047852,1.7462902069091797
14,0.40550737794765757,0.9479338842975207,0.3040849846142989,0.9961538461538462,0.9962119989238634,0.0004975670171853926,1.7146179676055908,1.7462902069091797
15,0.33962822659941744,0.9776859504132231,0.30161068668732277,0.9961538461538462,0.9962119989238634,0.000496201938253052,1.7128984928131104,1.7462902069091797
16,0.3409232971096827,0.9760330578512396,0.30040537990056554,0.9961538461538462,0.9962119989238634,0.0004945369001834514,1.7086522579193115,1.7462902069091797
17,0.33111090044344754,0.9793388429752066,0.2940940104998075,1.0,1.0,0.0004925739315689991,1.711287021636963,1.7462902069091797
18,0.3189722378391865,0.987603305785124,0.2950713221843426,1.0,1.0,0.0004903154239845797,1.7653985023498535,1.7462902069091797
19,0.3211299574572193,0.9867768595041322,0.2959607252707848,1.0,1.0,0.0004877641290737884,1.722994089126587,1.7462902069091797
20,0.3449273236526931,0.9768595041322314,0.30370678076377283,0.9961538461538462,0.9962119989238634,0.0004849231551964771,1.7072217464447021,1.7462902069091797
21,0.34143552223512946,0.9768595041322314,0.29432394871344936,1.0,1.0,0.00048179596364169685,1.8146917819976807,1.7462902069091797
22,0.3721485880780811,0.9578512396694215,0.2944421749848586,1.0,1.0,0.0004783863644106502,1.7075135707855225,1.7462902069091797
23,0.30513878518884835,0.9933884297520661,0.293103911784979,1.0,1.0,0.00047469851157479177,1.6972076892852783,1.7462902069091797
24,0.3197557798101882,0.9892561983471074,0.29383589487809403,1.0,1.0,0.00047073689821473173,1.7354445457458496,1.7462902069091797
25,0.3599974425371028,0.9512396694214876,0.29582633742919334,1.0,1.0,0.00046650635094610973,1.7052364349365234,1.7462902069091797
26,0.3432907088728976,0.9743801652892562,0.29779686148350054,1.0,1.0,0.00046201202403910646,1.8112835884094238,1.7462902069091797
27,0.33726994892782414,0.9801652892561984,0.29585691598745495,1.0,1.0,0.00045725939313876043,1.7293047904968262,1.7462902069091797
28,0.3298060776773563,0.9818181818181818,0.29554682465700005,1.0,1.0,0.0004522542485937369,1.6953403949737549,1.7462902069091797
29,0.32957418693983853,0.9768595041322314,0.29699272100742047,0.9961538461538462,0.996144374240854,0.0004470026884016805,1.6989619731903076,1.7462902069091797
30,0.3176114691190483,0.9867768595041322,0.2932493182329031,1.0,1.0,0.0004415111107797445,1.7025558948516846,1.7462902069091797
31,0.3296894787756865,0.9809917355371901,0.3017772867129399,0.9961538461538462,0.9962119989238634,0.00043578620636934855,1.7065808773040771,1.7462902069091797
32,0.29969451491497767,0.9950413223140496,0.29241837584055386,1.0,1.0,0.0004298349500846628,1.7023394107818604,1.7462902069091797
33,0.3702049894273774,0.9628099173553719,0.3004165273446303,0.9961538461538462,0.9962119989238634,0.00042366459261474935,1.7804663181304932,1.7462902069091797
34,0.32238756664528334,0.9859504132231405,0.29343222838181715,1.0,1.0,0.0004172826515897146,1.7092223167419434,1.7462902069091797
35,0.30994578284665575,0.990909090909091,0.2929914460732387,1.0,1.0,0.0004106969024216348,1.6982626914978027,1.7462902069091797
36,0.33363237794765754,0.9752066115702479,0.2928214838871589,1.0,1.0,0.00040391536883141455,1.7039875984191895,1.7462902069091797
37,0.3052267478024664,0.9925619834710744,0.29212614802213815,1.0,1.0,0.0003969463130731183,1.7024173736572266,1.7462902069091797
38,0.3768969133865735,0.9586776859504132,0.29898221905414873,0.9961538461538462,0.9962119989238634,0.0003897982258676867,1.702010154724121,1.7462902069091797
39,0.3327752094130871,0.9809917355371901,0.30108872743753284,0.9961538461538462,0.9962119989238634,0.00038247981605830125,1.8612098693847656,1.7462902069091797
