epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,epoch_time_sec,train_peak_vram_gb,lr_backbone,lr_lora_head
1,1.0287522189873308,0.531404958677686,0.7553194018510672,0.85,0.8495229617984109,3.086156129837036,2.623230457305908,1e-05,0.0001
2,0.5990246912664619,0.856198347107438,0.3862253775963416,0.9692307692307692,0.969117010740488,2.2854812145233154,2.623291015625,1.5e-05,0.00015
3,0.4181772667514391,0.9380165289256198,0.32553214660057656,0.9923076923076923,0.992334972719588,2.2164509296417236,2.6219334602355957,2e-05,0.0002
4,0.459872547654081,0.9008264462809917,0.30864672706677365,0.9961538461538462,0.9962119989238634,2.241096019744873,2.6219334602355957,2.5e-05,0.00025
5,0.38689809584420576,0.9495867768595041,0.30327645540237425,0.9961538461538462,0.9962119989238634,2.237718105316162,2.6219334602355957,3e-05,0.0003
6,0.3685234526464762,0.956198347107438,0.30394203617022586,1.0,1.0,2.225403308868408,2.6219334602355957,3.5e-05,0.00035
7,0.3488739465879015,0.9760330578512396,0.31045672801824714,0.9923076923076923,0.9923328740567144,2.220250129699707,2.6219334602355957,4e-05,0.0004
8,0.41532287508988186,0.9330578512396694,0.30122933112657985,1.0,1.0,2.2257277965545654,2.6219334602355957,4.5e-05,0.00045000000000000004
9,0.3225210538580398,0.984297520661157,0.31278292811833897,0.9884615384615385,0.9884507386030332,2.220425844192505,2.6219334602355957,5e-05,0.0005
10,0.3795702375656317,0.9586776859504132,0.30880145751512966,0.9923076923076923,0.9922169764452863,2.2210915088653564,2.6219334602355957,5e-05,0.0005
11,0.32954763868623527,0.9818181818181818,0.3021622767815223,0.9961538461538462,0.9962119989238634,2.2442681789398193,2.6219334602355957,4.99847706754774e-05,0.0004998477067547739
12,0.32256938455518613,0.9809917355371901,0.2948577734140249,1.0,1.0,2.2238121032714844,2.6219334602355957,4.993910125649561e-05,0.0004993910125649561
13,0.3692718129512692,0.9619834710743802,0.29382179792110735,1.0,1.0,2.2309231758117676,2.6219334602355957,4.9863047384206835e-05,0.0004986304738420684
14,0.41048768601141683,0.9396694214876034,0.3051509893857516,0.9961538461538462,0.9962119989238634,2.2242908477783203,2.6219334602355957,4.975670171853926e-05,0.0004975670171853926
15,0.3212493965448427,0.9851239669421488,0.2993413879321172,0.9923076923076923,0.9923539117591461,2.215111255645752,2.6219334602355957,4.962019382530521e-05,0.000496201938253052
16,0.3819423879966263,0.9553719008264463,0.3043685427078834,0.9961538461538462,0.9962119989238634,2.242051362991333,2.6219334602355957,4.9453690018345144e-05,0.0004945369001834514
17,0.34231514265714597,0.9752066115702479,0.30351276856202347,0.9961538461538462,0.9962119989238634,2.2283942699432373,2.6219334602355957,4.925739315689991e-05,0.0004925739315689991
18,0.3235253536011562,0.9834710743801653,0.3034725111264449,0.9961538461538462,0.9962119989238634,2.2211222648620605,2.6219334602355957,4.9031542398457974e-05,0.0004903154239845797
19,0.3399146819902846,0.9776859504132231,0.30300431893422053,0.9961538461538462,0.9962119989238634,2.2190213203430176,2.6219334602355957,4.877641290737884e-05,0.0004877641290737884
20,0.39230152437509586,0.9504132231404959,0.30875189029253447,0.9923076923076923,0.9923129566163329,2.2281103134155273,2.6219334602355957,4.849231551964771e-05,0.0004849231551964771
21,0.34052350649163743,0.9669421487603306,0.2958383734409626,0.9961538461538462,0.9961417946230444,2.2351620197296143,2.6219334602355957,4.817959636416969e-05,0.00048179596364169685
22,0.42581951682232627,0.9297520661157025,0.29536406489518974,1.0,1.0,2.218693971633911,2.6219334602355957,4.783863644106502e-05,0.0004783863644106502
23,0.3374287368837467,0.9801652892561984,0.3022348422270555,0.9961538461538462,0.9962119989238634,2.2088232040405273,2.6219334602355957,4.7469851157479177e-05,0.00047469851157479177
