epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,epoch_time_sec,train_peak_vram_gb,lr_backbone,lr_lora_head
1,0.900618241851913,0.6466165413533834,0.6384115391170856,0.8824742268041237,0.8712443014434091,4.3543689250946045,2.623645782470703,1e-05,0.0001
2,0.549901303386646,0.8783724015922159,0.393150141312904,0.9814432989690721,0.9800769451484546,4.194920301437378,2.620227336883545,1.5e-05,0.00015
3,0.46747600410112183,0.9106590004422822,0.3932383980947671,0.979381443298969,0.9763125763125764,4.167387247085571,2.619190216064453,2e-05,0.0002
4,0.406032563587144,0.9478107032286599,0.3438254127797392,0.9979381443298969,0.9982049285899642,4.202919006347656,2.619190216064453,2.5e-05,0.00025
5,0.351951810123118,0.9818664307828394,0.33833321609447914,0.9979381443298969,0.9982049285899642,4.182835102081299,2.619190216064453,3e-05,0.0003
6,0.4433159218694931,0.913312693498452,0.37258602872337265,0.9814432989690721,0.9837515174588581,4.180097341537476,2.619190216064453,3.5e-05,0.00035
7,0.37817247163822354,0.9677134011499336,0.3382915238129724,0.9979381443298969,0.9982049285899642,4.216441869735718,2.619190216064453,4e-05,0.0004
8,0.36996235577525527,0.966828836797877,0.33293584216501293,1.0,1.0,4.194754123687744,2.619190216064453,4.5e-05,0.00045000000000000004
9,0.4305816237666026,0.9332153914197258,0.33242359456327775,1.0,1.0,4.17484974861145,2.619190216064453,5e-05,0.0005
10,0.3994889274892001,0.9531180893409995,0.33324570354727123,1.0,1.0,4.174238920211792,2.619190216064453,5e-05,0.0005
11,0.43754825529826524,0.9425033171163202,0.36118653508805737,0.9835051546391752,0.9813886881103114,4.175111770629883,2.619190216064453,4.99847706754774e-05,0.0004998477067547739
12,0.40505858228988006,0.9606368863334808,0.3383250764964782,0.9979381443298969,0.9982049285899642,4.192791700363159,2.619190216064453,4.993910125649561e-05,0.0004993910125649561
13,0.3560989603749528,0.9743476337903583,0.3341221215184202,0.9979381443298969,0.9976615903384829,4.158697128295898,2.619190216064453,4.9863047384206835e-05,0.0004986304738420684
14,0.358847870282608,0.9765590446704998,0.35042647836134605,0.9896907216494846,0.9902371712766488,4.173123359680176,2.619190216064453,4.975670171853926e-05,0.0004975670171853926
15,0.36297821798244445,0.9739053516143299,0.3341226113211248,1.0,1.0,4.165672540664673,2.619190216064453,4.962019382530521e-05,0.000496201938253052
16,0.33897600599434036,0.9854046881910659,0.3303085191962645,1.0,1.0,4.196443557739258,2.619190216064453,4.9453690018345144e-05,0.0004945369001834514
17,0.38849331100447837,0.9606368863334808,0.3314271274301195,1.0,1.0,4.212420225143433,2.619190216064453,4.925739315689991e-05,0.0004925739315689991
18,0.37840117161540743,0.9663865546218487,0.3316350207500851,1.0,1.0,4.1814985275268555,2.619190216064453,4.9031542398457974e-05,0.0004903154239845797
19,0.32706441269254116,0.9915966386554622,0.33079080397320776,1.0,1.0,4.190017938613892,2.619190216064453,4.877641290737884e-05,0.0004877641290737884
20,0.3482990253029646,0.9792127377266696,0.3307018669610171,1.0,1.0,4.163349866867065,2.619190216064453,4.849231551964771e-05,0.0004849231551964771
21,0.3672307377655598,0.9681556833259619,0.3304753461449417,1.0,1.0,4.162782669067383,2.619190216064453,4.817959636416969e-05,0.00048179596364169685
22,0.3210518554821841,0.994250331711632,0.33037922677305553,1.0,1.0,4.183446407318115,2.619190216064453,4.783863644106502e-05,0.0004783863644106502
23,0.3341380868243834,0.9854046881910659,0.3302943889627752,1.0,1.0,4.194419860839844,2.619190216064453,4.7469851157479177e-05,0.00047469851157479177
24,0.35423328885985705,0.9708093763821318,0.3339356877754644,0.9979381443298969,0.9982072333616276,4.1861412525177,2.619190216064453,4.707368982147318e-05,0.00047073689821473173
25,0.37153716734002934,0.9721362229102167,0.3324791344170718,1.0,1.0,4.2123939990997314,2.619190216064453,4.665063509461097e-05,0.00046650635094610973
26,0.3142258553365752,0.9982308712958867,0.3303184434925158,1.0,1.0,4.207324028015137,2.619190216064453,4.620120240391065e-05,0.00046201202403910646
27,0.3541197180879796,0.9778858911985847,0.33074109148733394,1.0,1.0,4.215702056884766,2.619190216064453,4.572593931387604e-05,0.00045725939313876043
28,0.3333221407444906,0.988500663423264,0.3315503967791488,1.0,1.0,4.209651231765747,2.619190216064453,4.522542485937369e-05,0.0004522542485937369
29,0.371952200215351,0.9685979655019903,0.33173384518967464,1.0,1.0,4.219506502151489,2.619190216064453,4.470026884016805e-05,0.0004470026884016805
30,0.3645520793131525,0.9770013268465281,0.3315356139055232,1.0,1.0,4.203802108764648,2.619190216064453,4.415111107797445e-05,0.0004415111107797445
31,0.31562671299952944,0.9969040247678018,0.3306930657514592,1.0,1.0,4.202701568603516,2.619190216064453,4.357862063693486e-05,0.00043578620636934855
32,0.3815848609743156,0.9548872180451128,0.33503685526012145,0.9979381443298969,0.9976615903384829,4.201553821563721,2.619190216064453,4.2983495008466276e-05,0.0004298349500846628
33,0.3360237787514332,0.988500663423264,0.3317240539899806,1.0,1.0,4.233769178390503,2.619190216064453,4.2366459261474933e-05,0.00042366459261474935
