,precision,recall,f1-score,support
CNV,0.7926186291739895,0.8290441176470589,0.8104222821203954,544.0
DRUSEN,0.6889632107023411,0.5997088791848617,0.6412451361867705,687.0
NORMAL,0.8362831858407079,0.8777089783281734,0.8564954682779456,1292.0
accuracy,0.7915180340864051,0.7915180340864051,0.7915180340864051,0.7915180340864051
macro avg,0.7726216752390128,0.768820658386698,0.7693876288617038,2523.0
weighted avg,0.7867539184024389,0.7915180340864051,0.7879497721160968,2523.0
