epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,epoch_time_sec,train_peak_vram_gb,lr_backbone,lr_lora_head
1,1.0692493987631824,0.7444687842278204,0.6672273774408244,0.9180093089867526,0.9165461978622795,33.413193225860596,2.6247663497924805,1e-05,0.0001
2,0.6978396618483753,0.9003833515881708,0.5908970522743974,0.9466523451485858,0.9465056894782276,33.28632593154907,2.6244759559631348,1.5e-05,0.00015
3,0.6682638401269652,0.9093099671412924,0.5815805417851996,0.9488005728607233,0.9480852608144494,33.22075629234314,2.623286247253418,2e-05,0.0002
4,0.6337858121340272,0.9257393209200439,0.5677408262943223,0.9584675975653419,0.9580002072676955,33.23355460166931,2.623286247253418,2.5e-05,0.00025
5,0.6157736361744892,0.9343921139101862,0.574631807968858,0.9538131041890441,0.953286794813248,33.21587920188904,2.623286247253418,3e-05,0.0003
6,0.6406392349862582,0.9216319824753559,0.5663044857714196,0.9559613319011815,0.955932963355219,33.25119972229004,2.623286247253418,3.5e-05,0.00035
7,0.6306719066801625,0.9262869660460021,0.5520076854571279,0.9649122807017544,0.9647620846724654,33.30603790283203,2.623286247253418,4e-05,0.0004
8,0.6211922457941521,0.9290799561883899,0.5420712398193748,0.9659863945578231,0.9658308378500942,33.234684467315674,2.623286247253418,4.5e-05,0.00045000000000000004
9,0.6104878691436166,0.9355969331872946,0.5574737694627958,0.9602577873254565,0.9601143092439264,33.17967176437378,2.623286247253418,5e-05,0.0005
10,0.6219795125337707,0.9285870755750274,0.5607557923743428,0.9595417114214106,0.9594230536343384,33.115068435668945,2.623286247253418,5e-05,0.0005
11,0.6065154720371159,0.9351040525739321,0.5616566765662636,0.9613319011815252,0.9612738305732001,33.11151432991028,2.623286247253418,4.99847706754774e-05,0.0004998477067547739
12,0.6212816450316438,0.9294085432639649,0.5505555466943175,0.9627640529896169,0.9627327231908352,33.14981007575989,2.623286247253418,4.993910125649561e-05,0.0004993910125649561
13,0.6075893803990292,0.936144578313253,0.549612173375117,0.9627640529896169,0.9628412682945577,33.09736704826355,2.623286247253418,4.9863047384206835e-05,0.0004986304738420684
14,0.5931746334653564,0.9417305585980285,0.5509231615100674,0.966344432509846,0.9663558118777291,33.066349029541016,2.623286247253418,4.975670171853926e-05,0.0004975670171853926
15,0.5923726010557595,0.9428258488499452,0.5650203871206276,0.9634801288936627,0.9634484869901416,33.10172939300537,2.623286247253418,4.962019382530521e-05,0.000496201938253052
16,0.5904571778607134,0.9430449069003286,0.5582620186315742,0.9606158252774795,0.9605845854208228,33.07024121284485,2.623286247253418,4.9453690018345144e-05,0.0004945369001834514
17,0.5938960794159512,0.9423877327491785,0.5433729586104445,0.9656283566058003,0.9655489342702102,33.07972550392151,2.623286247253418,4.925739315689991e-05,0.0004925739315689991
18,0.5871102386993751,0.9443044906900329,0.5534298533485049,0.9645542427497314,0.9646380002911867,33.109856367111206,2.623286247253418,4.9031542398457974e-05,0.0004903154239845797
